Continent,Country,PM2.5,Happiness Score
Asia,Afghanistan,58.8,3.203
Africa,Algeria,21.2,5.211
South America,Argentina,12.4,6.086
Asia,Armenia,25.5,4.559
Europe,Armenia,25.5,4.559
Oceania,Australia,15.0,7.228
Europe,Austria,12.3,7.246
Asia,Bahrain,46.8,6.199
Asia,Bangladesh,83.3,4.456
Europe,Belgium,14.1,6.923
Europe,Bulgaria,26.8,5.011
Asia,Cambodia,21.1,4.7
North America,Canada,7.3,7.278
South America,Chile,27.7,6.444
Asia,China,42.1,5.191
North America,Costa Rica,10.4,7.167
Europe,Cyprus,19.2,6.046
Europe,Czech Republic,11.5,6.852
Europe,Denmark,9.6,7.6
Europe,Estonia,5.5,5.893
Africa,Ethiopia,20.1,4.286
Europe,Finland,6.0,7.769
Europe,France,14.7,6.592
Asia,Georgia,20.1,4.519
Europe,Georgia,20.1,4.519
Europe,Germany,9.7,6.985
Africa,Ghana,30.3,4.996
Europe,Greece,22.3,5.287
Europe,Hungary,14.0,5.758
Europe,Iceland,5.5,7.494
Asia,Indonesia,49.4,5.192
Asia,Iran,25.9,4.548
Asia,Iraq,39.6,4.437
Europe,Ireland,10.6,7.021
Asia,Israel,20.9,7.139
Europe,Italy,12.9,6.223
Asia,Japan,11.7,5.886
Europe,Kazakhstan,23.6,5.809
Asia,Kazakhstan,23.6,5.809
Europe,Kosovo,23.5,6.1
Asia,Kuwait,38.3,6.021
Asia,Kyrgyzstan,33.2,5.261
Asia,Laos,23.1,4.796
Europe,Lithuania,15.8,6.149
Asia,Malaysia,21.6,5.339
North America,Mexico,20.5,6.595
Asia,Mongolia,62.0,5.285
Asia,Nepal,48.0,4.913
Europe,Netherlands,10.7,7.488
Europe,North Macedonia,32.4,5.274
Europe,Norway,7.5,7.554
Asia,Pakistan,35.2,5.653
South America,Peru,23.7,5.697
Europe,Poland,17.3,6.182
Europe,Portugal,9.4,5.693
Europe,Romania,18.4,6.07
Europe,Russia,10.0,5.648
Asia,Saudi Arabia,22.1,6.375
Europe,Serbia,23.3,5.603
Asia,Singapore,19.0,6.262
Europe,Slovakia,13.6,6.198
Africa,South Africa,25.5,4.722
Asia,South Korea,24.8,5.895
Europe,Spain,9.2,6.354
Asia,Sri Lanka,25.2,4.366
Europe,Sweden,6.1,7.343
Europe,Switzerland,10.9,7.48
Asia,Thailand,22.8,6.008
Europe,Turkey,18.4,5.373
Asia,Turkey,18.4,5.373
Africa,Uganda,29.1,4.189
Europe,Ukraine,16.6,4.332
Asia,United Arab Emirates,38.4,6.825
Europe,United Kingdom,11.4,7.054
Asia,Uzbekistan,41.2,6.174
Asia,Vietnam,46.9,5.175
